,Ecosystem service,Indicator,Count
0,biodiversity,species richness,2
1,biodiversity,vegetation types,1
2,biodiversity,Potential Vegetation ,1
3,biodiversity,current forest structure,1
4,biodiversity,Terrestrial and aquatic diversity rankings,1
5,biodiversity,30 x 30 Biodiversity explorer: https://experience.arcgis.com/experience/a18f7afb32784a29a4bbb88b570bc2a3,1
