,Ecosystem service,Indicator,Count
0,recreation,Visitation estimates,2
1,recreation,Recreation infrastructure and trails,1
2,recreation,Social media and other data on visitor use,1
3,recreation,mobile device data,1
4,recreation,Defects of standing trees in recreation areas,1
5,recreation,mortality of trees in recreation areas,1
