,Ecosystem service,Indicator,Count
0,timber,timber volume per area,2
1,timber,Standing timber volume or biomass,1
2,timber,Timber cut and sold data for national forests,1
3,timber,Timber harvest,1
4,timber,Mortality due to root diseases,1
5,timber,presence and severity of root diseases  ,1
