,Ecosystem service,Indicator,Count
0,carbon,aboveground biomass,3
1,carbon,aboveground biomass change,2
2,carbon,aboveground biomass density,1
3,carbon,forest product carbon storage,1
4,carbon,Disturbance/fire carbon release,1
5,carbon,Live Aboveground,1
6,carbon,National Forest level carbon stock data,1
7,carbon,Live aboveground and dead carbon data,1
8,carbon,aboveground carbon,1
9,carbon,aboveground live carbon,1
