,Ecosystem service,Dataset,Count
0,recreation,NVUM (USFS National Visitor Use Monitoring),2
1,recreation,local hazard tree surveys,2
2,recreation,"spatial data on recreation infrastructure (e.g., from USFS)",1
3,recreation,Merrill et al. 2025 paper - https://www.nature.com/articles/s41598-025-26926-w,1
4,recreation,knowledge that root disease is causing tree failures on site by walk-through,1
5,recreation,burn severity data,1
6,recreation,Tourism Impact Model,1
